;Nombre;matches;Id
0;Concepción Abellán Carretero;Concepción Abellán Carretero;AbellánConcepción
1;Elisenda Alamany Gutiérrez;Elisenda Alamany Gutiérrez;AlamanyElisenda
2;David Cid Colomer;David Cid Colomer;CidDavid
3;Xavier Domènech i Sampere;Xavier Domènech i Sampere;DomènechXavier
4;Lucas Silvano Ferro Solé;Lucas Silvano Ferro Solé;FerroLucas
5;Yolanda López Fernández;Yolanda López Fernández;LópezYolanda
6;Marc Parés Franzi;Marc Parés Franzi;ParésMarc
7;Susana Segovia Sánchez;Susana Segovia Sánchez;SegoviaSusana
8;Matías Alonso Ruiz;Matías Alonso Ruiz;AlonsoMatías
9;Héctor Amellò Montiu;Héctor Amellò Montiu;AmellòHéctor
10;Inés Arrimadas García;Inés Arrimadas García;ArrimadasInés
11;Martin Eusebio Barra López;Martin Eusebio Barra López;BarraMartin
12;Susana Beltrán Garcia;Susana Beltrán Garcia;BeltránSusana
13;David Betran Román;David Betran Román;BetranDavid
14;Marina Bravo Sobrino;Marina Bravo Sobrino;BravoMarina
15;José María Cano Navarro;José María Cano Navarro;CanoJose
16;Carlos Carrizosa Torres;Carlos Carrizosa Torres;CarrizosaCarlos
17;Jean Castel Sucarrat;Jean Castel Sucarrat;CastelJean
18;Noemí de la Calle Sifré;Noemí de la Calle Sifré;DelaCalleNoemí
19;Fernando de Páramo Goméz;Fernando de Páramo Goméz;DePáramoFernando
20;Carmen de Rivera Pla;Carmen de Rivera Pla;DeRiveraCarmen
21;Francisco Javier Domínguez Serrano;Francisco Javier Domínguez Serrano;DomínguezFrancisco
22;Mercè Escofet Sala;Mercè Escofet Sala;EscofetMercè
23;José María Espejo Saavedra Conesa;José María Espejo Saavedra Conesa;Espejo-Saavedra
24;Antonio Espinosa Cerrato;Antonio Espinosa Cerrato;EspinosaAntonio
25;Jorge Feijóo Suñol;Jorge Feijóo Suñol;FeijóoJorge
26;Maialen Fernández Cabezas;Maialen Fernández Cabezas;FernándezMaialen
27;Maria del Camino Fernández Riol;Maria del Camino Fernández Riol;FernándezMaria
28;Munia Jordán Celorio;Munia Jordán Celorio;FernándezMunia
29;Jesús Galiano Gutierrez;Jesús Galiano Gutierrez;GalianoJesús
30;Joan García González;Joan García González;GarcíaJoan
31;Dimas Gragera Velaz;Dimas Gragera Velaz;GrageraDimas
32;Maria Luz Guilarte Sánchez;Maria Luz Guilarte Sánchez;GuilarteMaria
33;Fran Hervías Chirosa;Fran Hervías Chirosa;HervíasFran
34;Manuel Losada Seivane;Manuel Losada Seivane;LosadaManuel
35;Ignacio Martín Blanco;Ignacio Martín Blanco;MartínIgnacio
36;David Mejía Ayra;David Mejía Ayra;MejíaDavid
37;Blanca Victoria Navarro Pacheco;Blanca Victoria Navarro Pacheco;NavarroBlanca
38;Martí Pachamé Barrera;Martí Pachamé Barrera;PachaméMartí
39;Javier Rivas Escamilla;Javier Rivas Escamilla;RivasJavier
40;Manuel Rodriguez de l'Hotellerie de Fallois;Manuel Rodriguez de l'Hotellerie de Fallois;RodriguezManuel
41;Lorena Roldán Suárez;Lorena Roldán Suárez;RoldánLorena
42;Alfonso Sánchez Fisac;Alfonso Sánchez Fisac;SánchezAlfonso
43;Carlos Sánchez Martin;Carlos Sánchez Martin;SánchezCarlos
44;Sergi Sanz Jiménez;Sergi Sanz Jiménez;SanzSergi
45;Sonia Sierra Infante;Sonia Sierra Infante;SierraSonia
46;Jorge Soler Gonzaléz;Jorge Soler Gonzaléz;SolerJorge
47;Elisabeth Valencia Mimbrero;Elisabeth Valencia Mimbrero;ValenciaElisabeth
48;Maria Francisca Valle Fuentes;Maria Francisca Valle Fuentes;ValleMaria
49;Laura Vílchez Sánchez;Laura Vílchez Sánchez;VílchezLaura
50;Jèssica Albiach Satorres;Jèssica Albiach Satorres;AlbiachJèssica
51;Gerard Bargalló Voivin;Gerard Bargalló Voivin;BargallóGerard
52;Joan Coscubiela i Conesa;Joan Coscubiela i Conesa;CoscubielaJoan
53;Albano Dante Fachin Pozzi;Albano Dante Fachin Pozzi;DanteAlbano
54;Josep Lluís Franco Rabell;Josep Lluís Franco Rabell;FrancoJosep
55;Joan Giner Miguelez;Joan Giner Miguelez;GinerJoan
56;Hortènsia Grau Juan;Hortènsia Grau Juan;GrauHortènsia
57;Gemma Lienas i Massot;Gemma Lienas i Massot;LienasGemma
58;Àngels Martínez i Castells;Àngels Martínez i Castells;MartínezÀngels
59;Joan Josep Nuet i Pujals;Joan Josep Nuet i Pujals;NuetJoan
60;Marta Ribas Frías;Marta Ribas Frías;RibasMarta
61;Marc Vidal i Pou;Marc Vidal i Pou;VidalMarc
62;Antonio Baños Boncompain;Antonio Baños Boncompain;BañosAntonio
63;Albert Botran i Pahissa;Albert Botran i Pahissa;BotranAlbert
64;Mireia Boya e Busquet;Mireia Boya e Busquet;BoyaMireia
65;Josep Manel Busqueta i Franco;Josep Manel Busqueta i Franco;BusquetaJosep
66;Pilar Castillejo i Medina;Pilar Castillejo i Medina;CastillejoPilar
